county,city,modelYear,make,model,electricVehicleType,electricRange,electricUtility
King,Seattle,2022,VOLVO,XC40,Battery Electric Vehicle (BEV),0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
King,Seattle,2021,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),26,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
King,Kent,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Whatcom,Bellingham,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),210,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY
King,Redmond,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Snoqualmie,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),107,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Seattle,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
King,Redmond,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),84,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Issaquah,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Sammamish,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Shoreline,2019,HYUNDAI,IONIQ,Plug-in Hybrid Electric Vehicle (PHEV),29,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
King,Renton,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),249,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Kittitas,Ellensburg,2020,KIA,NIRO,Battery Electric Vehicle (BEV),239,BONNEVILLE POWER ADMINISTRATION||CITY OF ELLENSBURG - (WA)
Spokane,Spokane,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY
Snohomish,Lynnwood,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),151,PUGET SOUND ENERGY INC
King,Renton,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),72,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Kirkland,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Woodinville,2016,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Kitsap,Silverdale,2021,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25,PUGET SOUND ENERGY INC
King,Woodinville,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Seattle,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),200,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Whatcom,Bellingham,2019,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY
Snohomish,Mill Creek,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53,PUGET SOUND ENERGY INC
Snohomish,Bothell,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),84,PUGET SOUND ENERGY INC
King,Shoreline,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),322,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
King,Woodinville,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),266,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Kirkland,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Seattle,2022,VOLVO,XC40,Battery Electric Vehicle (BEV),0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Benton,Kennewick,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY
Whatcom,Bellingham,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),249,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY
King,Auburn,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Kirkland,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Benton,Kennewick,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY
Thurston,Olympia,2023,HYUNDAI,KONA ELECTRIC,Battery Electric Vehicle (BEV),0,PUGET SOUND ENERGY INC
King,Seattle,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Kitsap,Bremerton,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),35,PUGET SOUND ENERGY INC
Skagit,Bow,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238,PUGET SOUND ENERGY INC
Kittitas,Ellensburg,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,BONNEVILLE POWER ADMINISTRATION||CITY OF ELLENSBURG - (WA)
King,Lake Forest Park,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),18,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Seattle,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),208,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
King,Bothell,2018,FIAT,500,Battery Electric Vehicle (BEV),84,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Okanogan,Mazama,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,"OKANOGAN COUNTY ELEC COOP, INC"
King,Seatac,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Covington,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),266,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Thurston,Tumwater,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238,PUGET SOUND ENERGY INC
King,Kent,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Pierce,Dupont,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),266,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Skagit,Mount Vernon,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),204,PUGET SOUND ENERGY INC
Snohomish,Marysville,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),107,PUGET SOUND ENERGY INC
Cowlitz,Longview,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),73,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY
Skagit,Mount Vernon,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25,PUGET SOUND ENERGY INC
King,Shoreline,2021,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),17,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Skagit,Sedro-Woolley,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0,PUGET SOUND ENERGY INC
Adams,Othello,2017,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),16,"BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||BIG BEND ELECTRIC COOP, INC"
King,Redmond,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Pierce,Gig Harbor,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
San Juan,Eastsound,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),72,BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP
King,Kent,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),73,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Bellevue,2012,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),6,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Seattle,2022,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Skagit,Anacortes,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),84,PUGET SOUND ENERGY INC
Snohomish,Mukilteo,2015,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),14,PUGET SOUND ENERGY INC
Whitman,Pullman,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),0,AVISTA CORP
Snohomish,Woodinville,2020,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),32,PUGET SOUND ENERGY INC
King,Sammamish,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),35,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Skagit,Sedro-Woolley,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238,PUGET SOUND ENERGY INC
King,Federal Way,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),18,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Snohomish,Granite Falls,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),0,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY
King,Issaquah,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
